split,dimension,category,n_queries,baseline_Top10,safe_scorer_Top10
query-OOF,old_fragment,*Cc1ccccc1,4102,0.619454,1.0
fragment-OOF,old_fragment,*Cc1ccccc1,4102,0.619454,1.0
query-OOF,old_fragment,*N1CCNCC1,272,1.0,1.0
fragment-OOF,old_fragment,*N1CCNCC1,272,1.0,1.0
query-OOF,old_fragment,*OCC,1465,1.0,1.0
fragment-OOF,old_fragment,*OCC,1465,1.0,1.0
query-OOF,old_fragment,*c1ccc(Br)cc1,1912,0.908996,1.0
fragment-OOF,old_fragment,*c1ccc(Br)cc1,1912,0.908996,1.0
query-OOF,old_fragment,*c1ccc(F)c(F)c1,245,1.0,1.0
fragment-OOF,old_fragment,*c1ccc(F)c(F)c1,245,1.0,1.0
query-OOF,old_fragment,*c1ccccc1OC,2318,0.839517,1.0
fragment-OOF,old_fragment,*c1ccccc1OC,2318,0.839517,1.0
query-OOF,old_fragment,*c1ccccn1,1644,0.931873,1.0
fragment-OOF,old_fragment,*c1ccccn1,1644,0.931873,1.0
query-OOF,old_fragment,*c1ccncc1,1417,0.999294,1.0
fragment-OOF,old_fragment,*c1ccncc1,1417,0.999294,1.0
query-OOF,hard_miss,hard_miss=No,8082,0.951992,1.0
query-OOF,hard_miss,hard_miss=Yes,5293,0.653882,1.0
