fragment,n,bl_Top10,sc_Top10,delta
*C(=O)NC,128,1.0,1.0,0.0
*C(=O)c1ccc(OC)cc1,120,1.0,1.0,0.0
*C(=O)c1ccco1,104,0.932692,1.0,0.067308
*C1CCCCC1,2244,0.719697,0.752674,0.032977
*CCC,2112,0.883523,0.904356,0.020833
*CCCc1ccccc1,216,1.0,1.0,0.0
*Cc1cccc(OC)c1,118,1.0,1.0,0.0
*Cc1ccccc1Cl,215,1.0,1.0,0.0
*Cc1ccccc1OC,108,1.0,1.0,0.0
*Cc1ccccn1,233,0.570815,0.570815,0.0
*Cc1cccnc1,158,1.0,1.0,0.0
*N(C)C,1648,0.660801,0.737864,0.077063
*N1CCCCC1,1208,1.0,1.0,0.0
*Nc1ccc(C)cc1,234,1.0,1.0,0.0
*OC(F)(F)F,253,1.0,1.0,0.0
*c1ccc(C(C)C)cc1,101,1.0,1.0,0.0
*c1cccc(C)c1,1823,0.901262,0.961053,0.059792
*c1ccccc1C(F)(F)F,211,1.0,1.0,0.0
*c1ccccc1F,2113,0.903455,0.930431,0.026976
