seed,n_train_of,n_test_of,n_queries,lbc_macro,lbc_query,hgb_macro,hgb_query,ca_macro,ca_query,c3f_macro,c3f_query,freq_macro,freq_query,best_non_lbc,delta_macro,delta_query
0,86,37,35163,0.8266083057620668,0.7255922418451213,0.8640165036051375,0.7828967949264852,0.6194979217097363,0.5640872508034013,0.7466934911317699,0.687939026817962,0.4693573012999025,0.43579899325996074,c3f,0.07991481463029693,0.03765321502715924
1,86,37,30981,0.8686482266610325,0.8280881830799522,0.8778056337408581,0.8624640908944191,0.6592581622722128,0.6352603208418063,0.69439718718706,0.7133404344598302,0.4518570435088436,0.5278073658048481,c3f,0.17425103947397247,0.11474774862012205
2,86,37,24804,0.862452824991389,0.798097081115949,0.8781462434757835,0.7960006450572489,0.692585339549118,0.6634413804225125,0.6763202427786784,0.72677793904209,0.41120846193949984,0.3805837768101919,ca,0.16986748544227093,0.13465570069343646
3,86,37,37512,0.8590982831130649,0.6779697163574323,0.7438199430072314,0.6520046918319471,0.6552360112007253,0.5312433354659842,0.6742194247822293,0.6003945404137343,0.43672974291110556,0.45297504798464494,c3f,0.18487885833083562,0.077575175943698
4,86,37,31993,0.8162391496321388,0.7134373144125278,0.8243945760900697,0.7234395023911481,0.6459832079161778,0.6126965273653612,0.7737440572659046,0.7024661644734785,0.4927383048605311,0.4512549620229425,c3f,0.04249509236623428,0.01097114993904924
5,86,37,31460,0.8285012001484232,0.8062937062937063,0.9016341353433711,0.8528289891926255,0.649299890909067,0.6219961856325492,0.6910202480421925,0.7137952956134774,0.41466742525075817,0.4532422123331214,c3f,0.13748095210623068,0.0924984106802289
6,86,37,25353,0.8990726579302175,0.81714195558711,0.8941567046207698,0.8320908768193114,0.6639762905569055,0.607935944464166,0.7632639571030447,0.7724529641462549,0.5093759858329932,0.5394627854691753,c3f,0.13580870082717278,0.04468899144085514
7,86,37,29375,0.8375878088787426,0.7811404255319149,0.7838332109279189,0.772663829787234,0.689911700549836,0.601872340425532,0.6742234045225399,0.6731234042553191,0.4285176627239704,0.4708425531914894,ca,0.14767610832890665,0.17926808510638292
8,86,37,24759,0.9036666087469041,0.8456318914334181,0.876644195183723,0.839371541661618,0.6288271051810191,0.6191283977543519,0.7863590333694745,0.7569368714406882,0.5068371974816426,0.5233652409224928,c3f,0.11730757537742953,0.08869501999272988
9,86,37,30515,0.8189557148754633,0.777715877437326,0.8603324655588404,0.811010978207439,0.7090391623670158,0.6263476978535146,0.6832041506149512,0.6902834671473046,0.5031548538990149,0.5314107815828281,ca,0.10991655250844745,0.15136817958381132
