seed,drop,full_h10_macro,drop_h10_macro,delta_macro
0,morgan,0.8266083057620668,0.70409236982055,-0.12251593594151677
0,bit_corr,0.8266083057620668,0.660125700309985,-0.16648260545208182
0,dHeavy,0.8266083057620668,0.7344367659187214,-0.09217153984334536
0,dRings,0.8266083057620668,0.727213263942212,-0.09939504181985481
0,dMW,0.8266083057620668,0.7267298012115008,-0.09987850455056602
0,dLogP,0.8266083057620668,0.7074766089355288,-0.11913169682653801
0,dTPSA,0.8266083057620668,0.7107186531297102,-0.11588965263235662
0,freq,0.8266083057620668,0.6175525410232346,-0.20905576473883214
1,morgan,0.8686482266610325,0.7993286207675672,-0.06931960589346531
1,bit_corr,0.8686482266610325,0.7635324876537233,-0.1051157390073092
1,dHeavy,0.8686482266610325,0.8203092217810917,-0.048339004879940806
1,dRings,0.8686482266610325,0.8177269939640425,-0.050921232696990004
1,dMW,0.8686482266610325,0.8280881830799522,-0.04056004358108023
1,dLogP,0.8686482266610325,0.8214389464510506,-0.04720928020998183
1,dTPSA,0.8686482266610325,0.8163713243600916,-0.05227690230094084
1,freq,0.8686482266610325,0.6460088441302734,-0.2226393825307591
2,morgan,0.862452824991389,0.763828414771811,-0.09862441021957802
2,bit_corr,0.862452824991389,0.6763828414771811,-0.1860699835142079
2,dHeavy,0.862452824991389,0.7957990646669892,-0.06665376032439974
2,dRings,0.862452824991389,0.7763263989679084,-0.08612642602348053
2,dMW,0.862452824991389,0.7855184647637478,-0.07693436022764122
2,dLogP,0.862452824991389,0.7587889050153201,-0.10366391997606883
2,dTPSA,0.862452824991389,0.7799951620706338,-0.08245766292075518
2,freq,0.862452824991389,0.6739638767940654,-0.18848894819732354
3,morgan,0.8590982831130649,0.6216943911281723,-0.23740389198489265
3,bit_corr,0.8590982831130649,0.6009277031349968,-0.25817057997806814
3,dHeavy,0.8590982831130649,0.6749306888462359,-0.18416759426682905
3,dRings,0.8590982831130649,0.6741842610364683,-0.18491402207659657
3,dMW,0.8590982831130649,0.6779697163574323,-0.1811285667556326
3,dLogP,0.8590982831130649,0.6807688206440605,-0.17832946246900439
3,dTPSA,0.8590982831130649,0.6826882064406057,-0.17641007667245923
3,freq,0.8590982831130649,0.5635796545105566,-0.2955186286025083
4,morgan,0.8162391496321388,0.6846497671365611,-0.13158938249557772
4,bit_corr,0.8162391496321388,0.6170724846060076,-0.19916666502613123
4,dHeavy,0.8162391496321388,0.7545400556371706,-0.0616990939949682
4,dRings,0.8162391496321388,0.7129997186884631,-0.10323943094367571
4,dMW,0.8162391496321388,0.714312505860657,-0.10192664377148186
4,dLogP,0.8162391496321388,0.7065920670146595,-0.10964708261747935
4,dTPSA,0.8162391496321388,0.7129684618510299,-0.10327068778110893
4,freq,0.8162391496321388,0.6341699746819617,-0.18206917495017716
5,morgan,0.8285012001484232,0.785092180546726,-0.043409019601697185
5,bit_corr,0.8285012001484232,0.7576923076923077,-0.07080889245611555
5,dHeavy,0.8285012001484232,0.806071201525747,-0.02242999862267625
5,dRings,0.8285012001484232,0.7987285441830896,-0.029772655965333628
5,dMW,0.8285012001484232,0.811347743165925,-0.01715345698249826
5,dLogP,0.8285012001484232,0.7863954227590592,-0.04210577738936405
5,dTPSA,0.8285012001484232,0.7916083916083916,-0.03689280854003163
5,freq,0.8285012001484232,0.6981563890654799,-0.13034481108294327
6,morgan,0.8990726579302175,0.7699286080542737,-0.12914404987594386
6,bit_corr,0.8990726579302175,0.701297676803534,-0.19777498112668346
6,dHeavy,0.8990726579302175,0.8195479824872796,-0.07952467544293795
6,dRings,0.8990726579302175,0.8165503096280519,-0.08252234830216565
6,dMW,0.8990726579302175,0.81714195558711,-0.08193070234310751
6,dLogP,0.8990726579302175,0.7950143967183371,-0.10405826121188044
6,dTPSA,0.8990726579302175,0.8194690963594052,-0.07960356157081228
6,freq,0.8990726579302175,0.7330493432729854,-0.16602331465723208
7,morgan,0.8375878088787426,0.7407659574468085,-0.09682185143193411
7,bit_corr,0.8375878088787426,0.7104340425531915,-0.1271537663255511
7,dHeavy,0.8375878088787426,0.7842382978723405,-0.05334951100640217
7,dRings,0.8375878088787426,0.7763404255319148,-0.06124738334682778
7,dMW,0.8375878088787426,0.7742638297872341,-0.06332397909150855
7,dLogP,0.8375878088787426,0.7473702127659575,-0.09021759611278513
7,dTPSA,0.8375878088787426,0.749072340425532,-0.08851546845321068
7,freq,0.8375878088787426,0.6658382978723404,-0.17174951100640223
8,morgan,0.9036666087469041,0.7923987236964336,-0.11126788505047047
8,bit_corr,0.9036666087469041,0.7441334464235227,-0.15953316232338133
8,dHeavy,0.9036666087469041,0.8507209499575912,-0.0529456587893129
8,dRings,0.9036666087469041,0.8540328769336403,-0.049633731813263804
8,dMW,0.9036666087469041,0.8352518276182398,-0.06841478112866428
8,dLogP,0.9036666087469041,0.8371501272264631,-0.06651648152044098
8,dTPSA,0.9036666087469041,0.836423118865867,-0.06724348988103712
8,freq,0.9036666087469041,0.728098873137041,-0.17556773560986305
9,morgan,0.8189557148754633,0.771554972964116,-0.047400741911347244
9,bit_corr,0.8189557148754633,0.7377683106668851,-0.08118740420857817
9,dHeavy,0.8189557148754633,0.7833196788464689,-0.035636036028994345
9,dRings,0.8189557148754633,0.7791905620186793,-0.03976515285678395
9,dMW,0.8189557148754633,0.7759462559397018,-0.04300945893576147
9,dLogP,0.8189557148754633,0.7657217761756513,-0.05323393869981197
9,dTPSA,0.8189557148754633,0.7752580698017368,-0.04369764507372642
9,freq,0.8189557148754633,0.633983286908078,-0.18497242796738522
